Unit Size,Unit Name,Unit Type,Experience Level,Equipment,Command Structure,Logistics,Estimated Enemy Size,Enemy Unit Type Composition,Known Enemy Capabilities,Morale,Leadership,Mission Objective,Terrain Type,Weather Conditions,Time of Day,Civilian Presence,Supporting Arms,Enemy Movement,Rules of Engagement,Action Taken
6,Platoon,Special Forces,Mixed,Standard Issue,Centralized (Strict Hierarchy),Minimal,211,Irregular Militia,Improvised Explosive Devices (IEDs),Low,Incompetent,Peacekeeping,Island,Blizzard,Day,Low,Yes (Air Support),Aggressive Push,Return Fire Only,8
415,Company,Engineers,Elite,Basic (Limited Ammo),Centralized (Strict Hierarchy),Overstocked,29,Armored,Advanced Communication,Fanatical,Charismatic Leader,Cyber Defense,Rural,Snow,Dawn,Low,Yes (Air Support),Encirclement,Minimize Collateral Damage,2
901,Platoon,Infantry,Elite,Riot Gear,Centralized (Flexible),Well-Supplied,413,Light Infantry,Improvised Explosive Devices (IEDs),High,Incompetent,Secure Objective,Forest,Extreme Heat,Dawn,Low,Yes (Artillery),Tactical Retreat,Weapons Free,5
5,Battalion,Military Police,Mixed,Advanced Weaponry,Centralized,Adequate,180,Light Infantry,Improvised Explosive Devices (IEDs),Medium,Charismatic Leader,Rescue/Evacuation,Mountain,Clear,Day,Low,No,Encirclement,Protect Civilians at All Costs,8
5,Battalion,Military Police,Rookie,Riot Gear,Centralized (Flexible),Minimal,12,Guerrilla,Improvised Explosive Devices (IEDs),High,Competent,Peacekeeping,Coastal,Heavy Rain,Dusk,Medium,Yes (Artillery),Patrolling,Protect Civilians at All Costs,8
6,Platoon,Engineers,Rookie,Specialized Gear,Centralized (Strict Hierarchy),Overstocked,203,Guerrilla,Sniper Teams,Low,Weak,Eliminate Enemy Force,Desert,Extreme Heat,Night,Medium,Yes (Naval Gunfire),Aggressive Push,Minimize Collateral Damage,8
207,Fire Team,Combat Medic Team,Elite,Specialized Gear,Decentralized,Basic,460,Guerrilla,Advanced Communication,Fanatical,Weak,Rescue/Evacuation,Coastal,Cloudy,Night,None,Yes (Naval Gunfire),Infiltration,Protect Civilians at All Costs,4
46,Company,Armored,Rookie,Riot Gear,Decentralized,Basic,80,Cyber Warfare,Improvised Explosive Devices (IEDs),Low,Incompetent,Eliminate Enemy Force,Forest,Thunderstorm,Dusk,High,No,Patrolling,Non-Lethal Force Only,1
10,Fire Team,Reconnaissance,Mixed,Basic (Limited Ammo),Centralized,Basic,84,Guerrilla,Sniper Teams,Medium,Strong,Peacekeeping,Island,Heavy Rain,Day,None,No,Guerrilla Tactics,Return Fire Only,4
793,Platoon,Engineers,Rookie,Advanced Weaponry,Centralized (Flexible),Overstocked,24,Armored,Advanced Communication,High,Weak,Eliminate Enemy Force,Urban,Cloudy,Night,None,Yes (Air & Artillery),Infiltration,Protect Civilians at All Costs,5
5,Platoon,Armored,Veteran,Riot Gear,Decentralized (Limited Communication),Overstocked,258,Drone Operators,Standard Equipment,Low,Charismatic Leader,Counter-insurgency,Jungle,Heavy Rain,Night,High,No,Infiltration,Non-Lethal Force Only,9
122,Battalion,Mechanized,Elite,Standard Issue,Centralized (Strict Hierarchy),Basic,375,Cyber Warfare,Sniper Teams,Fanatical,Competent,Reconnaissance,Suburban,Extreme Cold,Night,Medium,Yes (Artillery & Close Air Support),Aggressive Push,Non-Lethal Force Only,2
35,Battalion,Special Forces,Elite,Medical Supplies,Centralized (Strict Hierarchy),Well-Supplied,364,Mechanized Infantry,Advanced Communication,Low,Tactical Genius,Peacekeeping,Mountain,Clear,Dawn,Medium,Yes (Artillery & Close Air Support),Infiltration,Non-Lethal Force Only,1
31,Squad,Military Police,Rookie,Medical Supplies,Decentralized (Limited Communication),Basic,10,Cyber Warfare,Improvised Explosive Devices (IEDs),Fanatical,Charismatic Leader,Rescue/Evacuation,Desert,Extreme Cold,Dusk,High,Yes (Artillery),Aggressive Push,Observe and Report,1
617,Platoon,Combat Medic Team,Elite,Riot Gear,Centralized,Adequate,383,Cyber Warfare,Improvised Explosive Devices (IEDs),High,Tactical Genius,Peacekeeping,Jungle,Clear,Day,High,Yes (Naval Gunfire),Tactical Retreat,Non-Lethal Force Only,4
13,Squad,Combat Medic Team,Veteran,Advanced Weaponry,Centralized (Flexible),Minimal,102,Cyber Warfare,Sniper Teams,Low,Tactical Genius,Cyber Defense,Forest,Heavy Rain,Day,Low,Yes (Air & Artillery),Encirclement,Non-Lethal Force Only,2
13,Battalion,Airborne,Veteran,Standard Issue,Centralized,Adequate,79,Mechanized Infantry,Advanced Communication,High,Competent,Reconnaissance,Jungle,Snow,Day,None,Yes (Air & Artillery),Tactical Retreat,Observe and Report,7
21,Company,Military Police,Mixed,Basic (Limited Ammo),Centralized (Flexible),Basic,291,Cyber Warfare,Improvised Explosive Devices (IEDs),Fanatical,Tactical Genius,Rescue/Evacuation,Desert,Snow,Day,None,Yes (Naval Gunfire),Guerrilla Tactics,Minimize Collateral Damage,4
28,Fire Team,Airborne,Mixed,Standard Issue,Decentralized (Limited Communication),Overstocked,215,Guerrilla,Standard Equipment,Fanatical,Competent,Counter-insurgency,Arctic,Fog,Dusk,None,Yes (Artillery & Close Air Support),Patrolling,Weapons Free,2
11,Company,Infantry,Elite,Medical Supplies,Centralized,Minimal,279,Light Infantry,Sniper Teams,Low,Charismatic Leader,Reconnaissance,Urban,Cloudy,Dawn,Medium,No,Patrolling,Minimize Collateral Damage,3
47,Platoon,Combat Medic Team,Veteran,Advanced Weaponry,Centralized,Well-Supplied,19,Armored,Standard Equipment,Medium,Incompetent,Eliminate Enemy Force,Jungle,Clear,Night,Low,Yes (Air & Artillery),Static Defense,Observe and Report,4
8,Squad,Military Police,Mixed,Advanced Weaponry,Centralized (Flexible),Overstocked,313,Light Infantry,Standard Equipment,Medium,Charismatic Leader,Infrastructure Protection,Rural,Blizzard,Night,Low,Yes (Air & Artillery),Encirclement,Non-Lethal Force Only,3
732,Fire Team,Military Police,Mixed,Standard Issue,Decentralized (Limited Communication),Basic,44,Mechanized Infantry,Improvised Explosive Devices (IEDs),Low,Weak,Reconnaissance,Forest,Clear,Day,None,Yes (Artillery & Close Air Support),Patrolling,Minimize Collateral Damage,8
28,Squad,Infantry,Veteran,Basic (Limited Ammo),Decentralized,Overstocked,167,Irregular Militia,Standard Equipment,High,Strong,Reconnaissance,Mountain,Blizzard,Day,None,No,Static Defense,Protect Civilians at All Costs,2
80,Fire Team,Reconnaissance,Mixed,Specialized Gear,Centralized,Basic,26,Cyber Warfare,Improvised Explosive Devices (IEDs),Medium,Competent,Counter-insurgency,Mountain,Fog,Night,High,No,Infiltration,Minimize Collateral Damage,8
12,Squad,Armored,Elite,Advanced Weaponry,Decentralized (Limited Communication),Basic,326,Light Infantry,Sniper Teams,Medium,Strong,Peacekeeping,Arctic,Thunderstorm,Day,Low,Yes (Artillery & Close Air Support),Patrolling,Weapons Free,9
5,Battalion,Infantry,Rookie,Advanced Weaponry,Centralized (Strict Hierarchy),Minimal,98,Mechanized Infantry,Advanced Communication,High,Incompetent,Cyber Defense,Forest,Clear,Day,High,Yes (Air & Artillery),Infiltration,Minimize Collateral Damage,6
18,Squad,Special Forces,Mixed,Basic (Limited Ammo),Centralized,Overstocked,365,Light Infantry,Sniper Teams,Low,Weak,Eliminate Enemy Force,Coastal,Heavy Rain,Dusk,Medium,Yes (Air Support),Infiltration,Non-Lethal Force Only,3
4,Fire Team,Mechanized,Veteran,Specialized Gear,Centralized (Strict Hierarchy),Well-Supplied,356,Cyber Warfare,Sniper Teams,Low,Strong,Cyber Defense,Rural,Snow,Dusk,Low,Yes (Naval Gunfire),Tactical Retreat,Protect Civilians at All Costs,3
5,Company,Special Forces,Veteran,Advanced Weaponry,Centralized (Flexible),Basic,227,Special Forces,Advanced Communication,High,Strong,Infrastructure Protection,Suburban,Snow,Night,High,Yes (Air Support),Aggressive Push,Non-Lethal Force Only,9
116,Squad,Engineers,Rookie,Specialized Gear,Decentralized (Limited Communication),Minimal,257,Guerrilla,Sniper Teams,Medium,Tactical Genius,Infrastructure Protection,Desert,Cloudy,Day,None,Yes (Naval Gunfire),Guerrilla Tactics,Observe and Report,2
543,Company,Special Forces,Mixed,Advanced Weaponry,Decentralized,Basic,31,Irregular Militia,Advanced Communication,Fanatical,Tactical Genius,Secure Objective,Arctic,Clear,Dusk,Medium,Yes (Naval Gunfire),Aggressive Push,Return Fire Only,4
304,Battalion,Mechanized,Mixed,Medical Supplies,Centralized (Flexible),Well-Supplied,22,Cyber Warfare,Sniper Teams,High,Charismatic Leader,Counter-insurgency,Urban,Clear,Day,High,Yes (Artillery),Encirclement,Return Fire Only,6
35,Platoon,Special Forces,Elite,Basic (Limited Ammo),Decentralized,Well-Supplied,313,Armored,Standard Equipment,Medium,Tactical Genius,Infrastructure Protection,Coastal,Fog,Dusk,High,Yes (Artillery & Close Air Support),Encirclement,Protect Civilians at All Costs,8
37,Platoon,Military Police,Veteran,Standard Issue,Centralized,Well-Supplied,329,Cyber Warfare,Advanced Communication,Fanatical,Competent,Eliminate Enemy Force,Coastal,Extreme Heat,Day,High,Yes (Air & Artillery),Tactical Retreat,Non-Lethal Force Only,7
102,Company,Reconnaissance,Elite,Standard Issue,Centralized,Adequate,60,Irregular Militia,Sniper Teams,Low,Tactical Genius,Eliminate Enemy Force,Forest,Fog,Day,Low,Yes (Air & Artillery),Static Defense,Protect Civilians at All Costs,1
33,Fire Team,Combat Medic Team,Veteran,Basic (Limited Ammo),Centralized (Strict Hierarchy),Overstocked,365,Armored,Improvised Explosive Devices (IEDs),Low,Weak,Rescue/Evacuation,Arctic,Extreme Heat,Night,Medium,Yes (Naval Gunfire),Tactical Retreat,Weapons Free,8
691,Platoon,Special Forces,Elite,Advanced Weaponry,Centralized (Strict Hierarchy),Well-Supplied,31,Drone Operators,Improvised Explosive Devices (IEDs),High,Incompetent,Reconnaissance,Island,Blizzard,Dusk,High,Yes (Air & Artillery),Patrolling,Non-Lethal Force Only,8
4,Squad,Armored,Mixed,Specialized Gear,Decentralized,Minimal,118,Irregular Militia,Sniper Teams,High,Weak,Infrastructure Protection,Arctic,Cloudy,Dusk,High,Yes (Air Support),Encirclement,Observe and Report,1
20,Company,Reconnaissance,Elite,Advanced Weaponry,Decentralized (Limited Communication),Minimal,481,Irregular Militia,Improvised Explosive Devices (IEDs),Fanatical,Incompetent,Rescue/Evacuation,Rural,Heavy Rain,Night,None,Yes (Air & Artillery),Guerrilla Tactics,Weapons Free,2
741,Platoon,Airborne,Veteran,Specialized Gear,Decentralized,Overstocked,282,Drone Operators,Improvised Explosive Devices (IEDs),Fanatical,Weak,Counter-insurgency,Suburban,Sandstorm,Day,Low,Yes (Artillery),Patrolling,Minimize Collateral Damage,6
11,Fire Team,Military Police,Rookie,Standard Issue,Centralized (Strict Hierarchy),Overstocked,115,Cyber Warfare,Improvised Explosive Devices (IEDs),Low,Weak,Eliminate Enemy Force,Island,Extreme Heat,Night,None,No,Infiltration,Minimize Collateral Damage,2
40,Company,Infantry,Mixed,Basic (Limited Ammo),Decentralized,Well-Supplied,200,Light Infantry,Sniper Teams,Medium,Strong,Rescue/Evacuation,Forest,Snow,Dawn,Medium,Yes (Artillery & Close Air Support),Tactical Retreat,Weapons Free,1
4,Fire Team,Mechanized,Veteran,Medical Supplies,Decentralized,Overstocked,103,Armored,Standard Equipment,Medium,Strong,Secure Objective,Arctic,Cloudy,Day,None,Yes (Air & Artillery),Infiltration,Non-Lethal Force Only,2
19,Company,Reconnaissance,Mixed,Specialized Gear,Centralized (Flexible),Overstocked,425,Armored,Advanced Communication,High,Weak,Infrastructure Protection,Mountain,Sandstorm,Dawn,High,Yes (Air Support),Aggressive Push,Observe and Report,3
626,Battalion,Reconnaissance,Mixed,Basic (Limited Ammo),Decentralized (Limited Communication),Basic,122,Special Forces,Standard Equipment,Medium,Charismatic Leader,Eliminate Enemy Force,Suburban,Sandstorm,Dawn,Medium,Yes (Artillery),Encirclement,Return Fire Only,9
39,Squad,Engineers,Elite,Advanced Weaponry,Decentralized,Overstocked,109,Drone Operators,Sniper Teams,Low,Competent,Secure Objective,Desert,Clear,Night,Medium,Yes (Air Support),Guerrilla Tactics,Minimize Collateral Damage,1
242,Company,Military Police,Elite,Medical Supplies,Centralized (Strict Hierarchy),Overstocked,211,Guerrilla,Standard Equipment,Low,Charismatic Leader,Infrastructure Protection,Suburban,Thunderstorm,Dawn,High,Yes (Artillery),Aggressive Push,Non-Lethal Force Only,4
202,Platoon,Armored,Mixed,Standard Issue,Centralized (Strict Hierarchy),Minimal,197,Irregular Militia,Standard Equipment,High,Weak,Secure Objective,Rural,Sandstorm,Dusk,None,Yes (Naval Gunfire),Aggressive Push,Observe and Report,3
514,Fire Team,Armored,Rookie,Basic (Limited Ammo),Decentralized,Basic,262,Guerrilla,Sniper Teams,Medium,Weak,Infrastructure Protection,Arctic,Clear,Dusk,None,Yes (Air & Artillery),Patrolling,Protect Civilians at All Costs,4
12,Fire Team,Infantry,Veteran,Advanced Weaponry,Centralized (Strict Hierarchy),Basic,467,Guerrilla,Standard Equipment,Medium,Strong,Reconnaissance,Coastal,Clear,Day,Low,Yes (Air Support),Patrolling,Non-Lethal Force Only,3
595,Company,Reconnaissance,Mixed,Riot Gear,Centralized (Flexible),Overstocked,354,Irregular Militia,Advanced Communication,Medium,Charismatic Leader,Counter-insurgency,Coastal,Sandstorm,Dawn,High,Yes (Naval Gunfire),Guerrilla Tactics,Protect Civilians at All Costs,1
117,Squad,Armored,Elite,Riot Gear,Decentralized (Limited Communication),Adequate,305,Cyber Warfare,Improvised Explosive Devices (IEDs),Low,Weak,Secure Objective,Forest,Blizzard,Night,High,Yes (Artillery),Guerrilla Tactics,Observe and Report,9
975,Company,Combat Medic Team,Veteran,Riot Gear,Decentralized,Minimal,329,Drone Operators,Improvised Explosive Devices (IEDs),Medium,Tactical Genius,Infrastructure Protection,Mountain,Cloudy,Dusk,None,Yes (Naval Gunfire),Encirclement,Weapons Free,7
237,Battalion,Mechanized,Rookie,Basic (Limited Ammo),Centralized (Strict Hierarchy),Minimal,470,Armored,Standard Equipment,Low,Competent,Reconnaissance,Desert,Light Rain,Day,High,Yes (Air & Artillery),Static Defense,Minimize Collateral Damage,3
157,Fire Team,Armored,Mixed,Riot Gear,Centralized,Well-Supplied,271,Armored,Standard Equipment,Low,Strong,Rescue/Evacuation,Desert,Heavy Rain,Dusk,High,Yes (Artillery & Close Air Support),Infiltration,Minimize Collateral Damage,8
104,Company,Special Forces,Rookie,Standard Issue,Centralized (Strict Hierarchy),Adequate,300,Mechanized Infantry,Advanced Communication,Medium,Incompetent,Cyber Defense,Coastal,Heavy Rain,Day,Low,Yes (Air Support),Patrolling,Protect Civilians at All Costs,8
131,Battalion,Engineers,Veteran,Advanced Weaponry,Centralized,Adequate,434,Light Infantry,Sniper Teams,High,Strong,Eliminate Enemy Force,Jungle,Light Rain,Day,None,No,Patrolling,Observe and Report,4
31,Squad,Reconnaissance,Rookie,Specialized Gear,Decentralized (Limited Communication),Well-Supplied,190,Drone Operators,Sniper Teams,Low,Charismatic Leader,Counter-insurgency,Mountain,Extreme Heat,Day,Low,Yes (Artillery & Close Air Support),Guerrilla Tactics,Non-Lethal Force Only,8
344,Platoon,Military Police,Rookie,Specialized Gear,Decentralized,Basic,438,Cyber Warfare,Sniper Teams,Fanatical,Strong,Rescue/Evacuation,Desert,Thunderstorm,Day,High,No,Encirclement,Observe and Report,1
4,Battalion,Engineers,Rookie,Specialized Gear,Decentralized,Minimal,96,Irregular Militia,Advanced Communication,Medium,Strong,Counter-insurgency,Coastal,Blizzard,Day,High,Yes (Artillery),Tactical Retreat,Weapons Free,1
114,Fire Team,Combat Medic Team,Veteran,Medical Supplies,Centralized,Overstocked,45,Special Forces,Standard Equipment,Fanatical,Incompetent,Cyber Defense,Urban,Snow,Dusk,High,Yes (Artillery),Patrolling,Non-Lethal Force Only,7
12,Company,Airborne,Mixed,Basic (Limited Ammo),Centralized (Strict Hierarchy),Adequate,12,Light Infantry,Standard Equipment,Medium,Charismatic Leader,Secure Objective,Urban,Sandstorm,Night,Low,Yes (Air & Artillery),Tactical Retreat,Observe and Report,8
6,Company,Combat Medic Team,Rookie,Medical Supplies,Centralized (Strict Hierarchy),Basic,312,Guerrilla,Standard Equipment,Low,Strong,Secure Objective,Jungle,Thunderstorm,Night,None,Yes (Naval Gunfire),Static Defense,Weapons Free,4
124,Battalion,Armored,Elite,Riot Gear,Decentralized (Limited Communication),Overstocked,485,Armored,Standard Equipment,Low,Competent,Reconnaissance,Arctic,Blizzard,Night,None,Yes (Air & Artillery),Patrolling,Protect Civilians at All Costs,7
13,Fire Team,Airborne,Rookie,Basic (Limited Ammo),Centralized,Minimal,418,Cyber Warfare,Sniper Teams,Fanatical,Competent,Rescue/Evacuation,Island,Snow,Dawn,High,Yes (Air & Artillery),Aggressive Push,Observe and Report,1
927,Battalion,Reconnaissance,Mixed,Medical Supplies,Centralized (Strict Hierarchy),Overstocked,413,Mechanized Infantry,Improvised Explosive Devices (IEDs),High,Strong,Peacekeeping,Forest,Sandstorm,Day,Medium,Yes (Air & Artillery),Guerrilla Tactics,Protect Civilians at All Costs,2
5,Battalion,Armored,Elite,Advanced Weaponry,Decentralized,Basic,349,Irregular Militia,Improvised Explosive Devices (IEDs),High,Competent,Reconnaissance,Forest,Heavy Rain,Dusk,High,Yes (Air Support),Infiltration,Minimize Collateral Damage,1
18,Squad,Military Police,Rookie,Basic (Limited Ammo),Centralized (Strict Hierarchy),Adequate,291,Cyber Warfare,Improvised Explosive Devices (IEDs),Low,Incompetent,Cyber Defense,Mountain,Sandstorm,Day,Medium,Yes (Air & Artillery),Patrolling,Observe and Report,4
10,Battalion,Military Police,Elite,Standard Issue,Centralized (Strict Hierarchy),Minimal,384,Mechanized Infantry,Standard Equipment,Low,Incompetent,Counter-insurgency,Coastal,Extreme Heat,Night,Low,Yes (Air Support),Aggressive Push,Weapons Free,1
6,Fire Team,Infantry,Mixed,Medical Supplies,Decentralized (Limited Communication),Adequate,168,Mechanized Infantry,Sniper Teams,Fanatical,Tactical Genius,Peacekeeping,Urban,Blizzard,Day,Low,No,Infiltration,Observe and Report,3
184,Squad,Combat Medic Team,Rookie,Basic (Limited Ammo),Centralized (Flexible),Minimal,101,Light Infantry,Sniper Teams,Low,Competent,Counter-insurgency,Rural,Extreme Cold,Dawn,High,No,Tactical Retreat,Non-Lethal Force Only,1
857,Platoon,Military Police,Mixed,Medical Supplies,Decentralized (Limited Communication),Minimal,471,Mechanized Infantry,Improvised Explosive Devices (IEDs),Medium,Weak,Peacekeeping,Desert,Extreme Heat,Dawn,High,Yes (Air Support),Tactical Retreat,Observe and Report,1
162,Fire Team,Mechanized,Elite,Basic (Limited Ammo),Decentralized,Basic,106,Mechanized Infantry,Sniper Teams,Medium,Charismatic Leader,Rescue/Evacuation,Urban,Blizzard,Dawn,High,No,Encirclement,Return Fire Only,2
18,Battalion,Infantry,Veteran,Advanced Weaponry,Centralized,Well-Supplied,484,Mechanized Infantry,Advanced Communication,High,Charismatic Leader,Counter-insurgency,Coastal,Thunderstorm,Dusk,Medium,Yes (Naval Gunfire),Infiltration,Return Fire Only,1
19,Squad,Reconnaissance,Mixed,Standard Issue,Decentralized (Limited Communication),Basic,163,Armored,Advanced Communication,High,Charismatic Leader,Eliminate Enemy Force,Arctic,Snow,Dusk,None,No,Guerrilla Tactics,Non-Lethal Force Only,6
166,Battalion,Reconnaissance,Rookie,Riot Gear,Centralized,Adequate,68,Drone Operators,Improvised Explosive Devices (IEDs),Medium,Weak,Reconnaissance,Island,Extreme Cold,Day,None,Yes (Air & Artillery),Infiltration,Weapons Free,3
6,Fire Team,Mechanized,Rookie,Medical Supplies,Centralized,Adequate,79,Mechanized Infantry,Sniper Teams,High,Weak,Rescue/Evacuation,Mountain,Thunderstorm,Day,Low,Yes (Naval Gunfire),Patrolling,Protect Civilians at All Costs,1
